**** All Elevator Calls (time,src,dest,state,elev dt) stage 9 ****
Elevator call,4.181791416969872,-7,-4,3,3, Done, dt, 33.81820858303013
Elevator call,9.088234750896163,-8,24,3,3, Done, dt, 41.91176524910384
Elevator call,23.235924121476728,-5,-3,3,1, Done, dt, 33.76407587852327
Elevator call,25.401489874449226,-4,86,3,1, Done, dt, 61.598510125550774
Elevator call,26.510341549025043,-3,-4,3,0, Done, dt, 23.489658450974957
Elevator call,47.1361150824805,-4,93,3,3, Done, dt, 56.8638849175195
Elevator call,48.17946317881706,-7,5,3,0, Done, dt, 35.82053682118294
Elevator call,59.41774733953457,-6,16,3,3, Done, dt, 75.58225266046543
Elevator call,59.8832891414022,-1,95,3,1, Done, dt, 38.1167108585978
Elevator call,61.94089619280976,-3,60,3,0, Done, dt, 43.05910380719024
Elevator call,65.68076513617825,-2,61,3,3, Done, dt, 25.319234863821748
Elevator call,75.72747458099184,-3,78,3,1, Done, dt, 61.27252541900816
Elevator call,80.54056995114593,-1,-2,3,6, Done, dt, 24.459430048854074
Elevator call,81.83610880045785,-4,71,3,0, Done, dt, 71.16389119954215
Elevator call,82.2221532378262,-4,84,3,7, Done, dt, 75.7778467621738
Elevator call,82.9367101264711,-4,46,3,7, Done, dt, 45.0632898735289
Elevator call,92.10943365362255,-8,49,3,6, Done, dt, 69.89056634637745
Elevator call,95.13692146543258,-5,2,3,8, Done, dt, 24.86307853456742
Elevator call,103.50040131951914,26,49,3,7, Done, dt, 35.49959868048086
Elevator call,121.34340971707047,-5,-1,3,6, Done, dt, 17.65659028292953
Elevator call,123.80909763203749,-8,-7,3,0, Done, dt, 66.19090236796251
Elevator call,132.11021714697108,-2,-3,3,1, Done, dt, 33.88978285302892
Elevator call,132.77424796408013,-8,11,3,9, Done, dt, 101.22575203591987
Elevator call,133.09649437009057,-6,-5,3,9, Done, dt, 32.90350562990943
Elevator call,139.35195885055145,-6,24,3,3, Done, dt, 25.648041149448545
Elevator call,140.07774477672046,-7,-9,3,1, Done, dt, 47.922255223279535
Elevator call,158.57731790638832,-2,55,3,9, Done, dt, 107.42268209361168
Elevator call,162.5783865236599,-3,17,3,9, Done, dt, 83.4216134763401
Elevator call,163.91308820296035,50,66,3,3, Done, dt, 26.086911797039647
Elevator call,166.5792335185672,14,-9,3,1, Done, dt, 47.42076648143279
